User Input,Chatbot Response,Timestamp
hi,Hello,2025-03-12 20:39:30
how are you,My purpose is to assist you,2025-03-12 20:39:41
wizarding_cuisine,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2025-03-12 20:40:07
what is your name,You can call me Chatbot.,2025-03-12 20:40:43
hi,Nothing much,2025-03-12 20:44:30
how are you,My purpose is to assist you,2025-03-12 20:44:39
hi,"I'm fine, thank you",2025-03-12 20:52:05
how are you,I am a chatbot,2025-03-12 20:52:11
hi,"I'm fine, thank you",2025-03-12 21:12:46
hi,Nothing much,2025-03-12 21:14:38
hiw are you,I am a chatbot,2025-03-12 21:14:48
hi,Hello,2025-03-12 21:15:25
how are you,My purpose is to assist you,2025-03-12 21:15:34
ok,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2025-03-12 21:15:43
hi,Hello,2025-03-12 21:19:34
how are you,I can answer questions and provide assistance,2025-03-12 21:19:42
who are you,I am a chatbot,2025-03-12 21:20:04
how can you help me,How can I assist you?,2025-03-12 21:20:21
